iter	Passed	Remaining
0	68	68318
1	69	34476
2	69	23146
3	70	17478
4	70	14075
5	71	11801
6	71	10211
7	72	9031
8	73	8113
9	74	7353
10	74	6726
11	75	6203
12	75	5760
13	76	5380
14	76	5049
15	77	4765
16	78	4514
17	78	4297
18	79	4101
19	80	3922
20	80	3760
21	81	3609
22	81	3471
23	82	3343
24	82	3227
25	83	3118
26	83	3021
27	84	2932
28	85	2851
29	85	2773
30	86	2699
31	86	2628
32	87	2561
33	87	2498
34	88	2439
35	88	2383
36	89	2333
37	90	2287
38	91	2243
39	92	2208
40	92	2165
41	93	2123
42	93	2083
43	94	2044
44	94	2008
45	95	1973
46	95	1944
47	96	1917
48	97	1890
49	98	1862
50	98	1836
51	99	1809
52	99	1783
53	100	1757
54	100	1732
55	101	1708
56	102	1687
57	102	1670
58	103	1652
59	104	1633
60	104	1614
61	105	1594
62	105	1575
63	106	1557
64	107	1539
65	107	1521
66	108	1505
67	108	1491
68	109	1478
69	110	1464
70	110	1449
71	111	1434
72	111	1419
73	112	1405
74	112	1391
75	113	1378
76	113	1364
77	114	1353
78	115	1342
79	116	1334
80	116	1324
81	117	1315
82	117	1301
83	118	1290
84	118	1279
85	119	1268
86	119	1257
87	120	1249
88	121	1242
89	122	1235
90	122	1227
91	123	1218
92	123	1208
93	124	1200
94	125	1191
95	125	1182
96	126	1173
97	126	1164
98	127	1158
99	128	1152
100	128	1145
101	129	1137
102	129	1129
103	130	1122
104	130	1114
105	131	1107
106	131	1100
107	132	1092
108	132	1085
109	133	1080
110	134	1076
111	135	1071
112	135	1065
113	136	1058
114	136	1052
115	137	1045
116	137	1038
117	138	1032
118	138	1026
119	139	1020
120	139	1015
121	141	1016
122	141	1011
123	142	1005
124	142	1000
125	143	994
126	143	988
127	144	983
128	144	978
129	145	973
130	146	970
131	146	966
132	147	961
133	148	956
134	148	951
135	149	946
136	149	941
137	150	937
138	150	932
139	151	928
140	151	923
141	151	918
142	153	917
143	153	914
144	154	910
145	154	906
146	155	901
147	155	897
148	156	893
149	156	889
150	157	885
151	158	881
152	158	878
153	159	875
154	160	872
155	160	868
156	161	864
157	161	861
158	162	857
159	162	853
160	162	849
